dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
prosociality proportions:,2,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5,0.5,0.5,0.5,0.5,0.5,0.47058823529411764,0.4375,0.4375,0.4375,0.4375,0.4375,0.4,0.4,0.4,0.4,0.35714285714285715,0.35714285714285715,0.35714285714285715
population counts:,2,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,18,18,17,16,16,16,16,16,15,15,15,15,14,14,14
groups counts:,2,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7
standard deviations in prosocial proportions,2,0.0,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.41533119314590372,0.26925824035672519,0.26925824035672519,0.35000000000000003,0.35000000000000003,0.26925824035672524,0.41533119314590372,0.34999999999999998,0.24145194093343142,0.4115946439054235,0.17173367584251303,0.37497142095030717,0.33333333333333331,0.33333333333333331,0.33333333333333331,0.40824829046386302,0.23570226039551584,0.23570226039551584,0.35782425077745145,0.39031237489989989,0.39031237489989989,0.39031237489989989,0.39031237489989989,0.39031237489989989,0.31943828249996997,0.24743582965269673,0.31943828249997003,0.1749635530559413,0.22587697572631282,0.34992710611188255,0.3499271061118826
prosociality proportions:,2,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5238095238095238,0.5454545454545454,0.5416666666666666,0.52,0.52,0.4827586206896552,0.42857142857142855,0.41379310344827586,0.41379310344827586,0.39285714285714285,0.41379310344827586,0.4,0.4,0.4375,0.42424242424242425,0.40625,0.40625,0.4117647058823529,0.4117647058823529,0.4117647058823529,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.38235294117647056,0.37142857142857144,0.37142857142857144,0.3611111111111111,0.35135135135135137,0.35135135135135137,0.35135135135135137
population counts:,2,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,21,22,24,25,25,29,28,29,29,28,29,30,30,32,33,32,32,34,34,34,34,34,34,34,35,35,36,37,37,37
groups counts:,2,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,11,12,12,12,14,14,14,14,14,14,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,18,18,18,18
standard deviations in prosocial proportions,2,0.05,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.31622776601683794,0.25712973861329003,0.32004773949452536,0.38389652669681262,0.25306759942067497,0.3779644730092272,0.37115374447904509,0.3433858357584752,0.3433858357584752,0.38630906522828462,0.28670463282838798,0.32659863237109044,0.32659863237109049,0.29973947020704494,0.34845268090995274,0.31715286140913185,0.36309218870694532,0.39240188423900979,0.30847319063827988,0.30847319063827988,0.36499040135267224,0.3649904013526723,0.32218973970892123,0.27275348516163833,0.32099422634793923,0.38021018489539832,0.36535962327683069,0.32513055307554511,0.36535962327683069,0.3400808828186474
prosociality proportions:,2,0.1,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5238095238095238,0.5238095238095238,0.5,0.5,0.4782608695652174,0.43478260869565216,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4583333333333333,0.46153846153846156,0.5,0.5,0.5,0.5,0.4827586206896552,0.4827586206896552,0.5,0.5,0.47058823529411764,0.45714285714285713,0.475,0.4883720930232558,0.5,0.5,0.5217391304347826,0.5106382978723404,0.5490196078431373,0.5272727272727272,0.5084745762711864
population counts:,2,0.1,0.02,0,0,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,20,21,21,22,22,23,23,24,24,24,24,26,28,28,28,28,29,29,30,32,34,35,40,43,44,44,46,47,51,55,59
