dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
prosociality proportions:,2,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.55,0.55,0.5263157894736842,0.5,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715
population counts:,2,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,20,20,20,19,18,17,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14
groups counts:,2,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
standard deviations in prosocial proportions,2,0.0,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.26925824035672519,0.34999999999999998,0.34999999999999998,0.29162992125969672,0.23570226039551584,0.25600428598842723,0.25600428598842723,0.35782425077745145,0.39747466725706065,0.35782425077745145,0.39747466725706065,0.30900827029565259,0.30900827029565264,0.30900827029565259,0.29973947020704494,0.36421567954234174,0.24743582965269673,0.31943828249996997,0.36421567954234174,0.24743582965269673,0.1749635530559413,0.1749635530559413,0.41649656391752143,0.3499271061118826,0.2258769757263128,0.44031528592635544,0.22587697572631285,0.22587697572631282,0.2258769757263128,0.22587697572631282
prosociality proportions:,2,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.5263157894736842,0.55,0.5454545454545454,0.5454545454545454,0.5652173913043478,0.5833333333333334,0.6,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5769230769230769,0.5384615384615384,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5555555555555556,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5555555555555556,0.5384615384615384,0.52,0.5,0.5,0.52,0.52,0.5384615384615384,0.5714285714285714
population counts:,2,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,19,20,22,22,23,24,25,26,26,26,26,26,28,28,28,27,26,26,26,26,26,27,26,25,24,24,25,25,26,28
groups counts:,2,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,9,10,11,11,11,12,12,13,13,13,13,13,14,14,14,13,13,13,13,13,13,13,13,12,12,12,12,12,13,14
standard deviations in prosocial proportions,2,0.05,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.41533119314590372,0.4115946439054235,0.26925824035672524,0.33402132856134248,0.33402132856134248,0.39626354032187938,0.2763853991962833,0.34331130817522987,0.38461538461538464,0.38461538461538464,0.33085866411702414,0.26646935501059654,0.30769230769230771,0.37115374447904509,0.31943828249996992,0.25753937681885636,0.2737712372315721,0.36487819155788992,0.36487819155788992,0.36487819155788992,0.36487819155788992,0.36487819155788992,0.33676732145035121,0.36487819155788992,0.28867513459481287,0.40824829046386302,0.40824829046386302,0.35654160147203984,0.32513055307554517,0.41424344670265423,0.25753937681885636
prosociality proportions:,2,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.5714285714285714,0.5714285714285714,0.5909090909090909,0.6086956521739131,0.6086956521739131,0.5925925925925926,0.5714285714285714,0.5517241379310345,0.5517241379310345,0.5357142857142857,0.5172413793103449,0.5483870967741935,0.5454545454545454,0.5588235294117647,0.5428571428571428,0.5428571428571428,0.5526315789473685,0.5526315789473685,0.5277777777777778,0.4864864864864865,0.5,0.5238095238095238,0.5116279069767442,0.5227272727272727,0.5333333333333333,0.5531914893617021,0.5714285714285714,0.5769230769230769,0.6140350877192983
population counts:,2,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,20,20,21,21,22,23,23,27,28,29,29,28,29,31,33,34,35,35,38,38,36,37,40,42,43,44,45,47,49,52,57
groups counts:,2,0.1,0.02,0,0,30,1,1.0,0,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,11,11,11,13,14,14,14,14,14,15,16,17,17,17,19,19,18,18,20,21,21,22,22,23,24,26,28
