dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
prosociality proportions:,2,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.55,0.55,0.55,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5,0.5,0.5,0.5,0.5,0.47058823529411764,0.47058823529411764,0.47058823529411764,0.47058823529411764
population counts:,2,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,20,20,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,17,17,17,17
groups counts:,2,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8
standard deviations in prosocial proportions,2,0.0,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672524,0.26925824035672524,0.41533119314590372,0.41533119314590372,0.47169905660283018,0.31663925319938885,0.399109251263917,0.32004773949452536,0.32004773949452536,0.36084391824351608,0.26922599965250177,0.399109251263917,0.39747466725706065,0.43650680916160339,0.26352313834736496,0.39747466725706065,0.31663925319938879,0.39747466725706065,0.26922599965250177,0.19982631347136331,0.43898557303553076,0.31663925319938885,0.46955948623269356,0.35355339059327379,0.35355339059327379,0.39747466725706065,0.35355339059327379,0.35355339059327379,0.43650680916160345,0.35355339059327379,0.4330127018922193
prosociality proportions:,2,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.55,0.5263157894736842,0.5,0.47368421052631576,0.45,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.42857142857142855,0.42857142857142855,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4782608695652174,0.4583333333333333,0.48,0.4642857142857143,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.46875,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45714285714285713,0.45714285714285713
population counts:,2,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,20,20,19,18,19,20,22,22,22,21,21,22,22,22,22,22,23,24,25,28,29,29,29,29,32,33,33,33,35,35
groups counts:,2,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,9,9,9,10,11,11,11,10,10,11,11,11,11,11,11,12,12,14,14,14,14,14,16,16,16,16,17,17
standard deviations in prosocial proportions,2,0.05,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.34999999999999998,0.34999999999999998,0.47169905660283018,0.36084391824351608,0.43650680916160345,0.31110801089725165,0.35000000000000003,0.27938424357067015,0.35784850922639816,0.42031734043061642,0.41633319989322654,0.47169905660283024,0.41533119314590378,0.35784850922639821,0.27938424357067015,0.32015621187164239,0.35118845842842455,0.39440531887330776,0.47689679759414988,0.35355339059327379,0.44176131703046362,0.38039393592072518,0.42257712736425829,0.46291004988627571,0.3301291577110011,0.41339864235384227,0.3736956482219187,0.39031237489989989,0.43188359253391417,0.399109251263917,0.41549313906623186
prosociality proportions:,2,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.47619047619047616,0.45,0.45,0.4090909090909091,0.38461538461538464,0.38461538461538464,0.37037037037037035,0.35714285714285715,0.3793103448275862,0.3793103448275862,0.3870967741935484,0.4117647058823529,0.42857142857142855,0.40540540540540543,0.39473684210526316,0.4,0.3902439024390244,0.40476190476190477,0.4090909090909091,0.41304347826086957,0.4166666666666667,0.3958333333333333,0.3958333333333333,0.39215686274509803,0.38461538461538464,0.4074074074074074,0.41818181818181815,0.41818181818181815,0.41818181818181815,0.40350877192982454
population counts:,2,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,20,21,20,20,22,26,26,27,28,29,29,31,34,35,37,38,40,41,42,44,46,48,48,48,51,52,54,55,55,55,57
groups counts:,2,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,11,13,13,13,14,14,14,15,17,17,18,19,20,20,21,22,23,24,24,24,25,26,27,27,27,27,28
standard deviations in prosocial proportions,2,0.1,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.26925824035672519,0.44721359549995793,0.41533119314590378,0.41533119314590378,0.38188130791298663,0.34246744460938761,0.34246744460938761,0.35896799953666902,0.3976974544878587,0.38630906522828456,0.38539081086282484,0.43005694924258203,0.3227486121839514,0.30046260628866578,0.34359213546813838,0.36004114991154784,0.37416573867739417,0.37416573867739411,0.37370145541297772,0.41659779045053086,0.35766883739735994,0.39965262694272663,0.40771637064126937,0.40771637064126937,0.41054531260715149,0.42307692307692313,0.39244174012856325,0.40078202647027145,0.42385321166196255,0.35880261459375717,0.36552659804390569
prosociality proportions:,2,0.15,0.02,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.55,0.55,0.5,0.5,0.5416666666666666,0.5217391304347826,0.5217391304347826,0.5384615384615384,0.5185185185185185,0.5,0.48484848484848486,0.4857142857142857,0.48717948717948717,0.5,0.4883720930232558,0.45454545454545453,0.43478260869565216,0.46,0.49122807017543857,0.48333333333333334,0.5079365079365079,0.5151515151515151,0.5147058823529411,0.47297297297297297,0.4810126582278481,0.5,0.4835164835164835,0.5,0.5233644859813084,0.5178571428571429,0.5384615384615384
