dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
prosociality proportions:,10,0.0,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
population counts:,10,0.0,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
groups counts:,10,0.0,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
standard deviations in prosocial proportions,10,0.0,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.089999999999999969,0.30675723300355934,0.30675723300355939,0.30347981810987035,0.22825424421026655,0.26476404589747454,0.21931712199461309,0.26851443164195105,0.30016662039607273,0.30675723300355934,0.25709920264364888,0.29000000000000004,0.26095976701399776,0.25317977802344327,0.30347981810987035,0.23685438564654027,0.27586228448267441,0.27586228448267441,0.35791060336346564,0.30347981810987035,0.28999999999999998,0.2865309756378881,0.30675723300355939,0.34365680554879169,0.3132091952673165,0.23685438564654021,0.24919871588754228,0.24919871588754228,0.30016662039607267,0.31953090617340918,0.3318132004607412
prosociality proportions:,10,0.05,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.53,0.53,0.53,0.5392156862745098,0.5480769230769231,0.5607476635514018,0.5596330275229358,0.5789473684210527,0.5811965811965812,0.576271186440678,0.5798319327731093,0.5887096774193549,0.5873015873015873,0.5923076923076923,0.5923076923076923,0.5925925925925926,0.5928571428571429,0.6040268456375839,0.6103896103896104,0.6211180124223602,0.6167664670658682,0.621301775147929,0.6206896551724138,0.6353591160220995,0.6397849462365591,0.6494845360824743,0.6386138613861386,0.6442307692307693,0.6462264150943396,0.6513761467889908
population counts:,10,0.05,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,100,100,100,102,104,107,109,114,117,118,119,124,126,130,130,135,140,149,154,161,167,169,174,181,186,194,202,208,212,218
groups counts:,10,0.05,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,13,13,13,14,14,15,16,16,16,17,18,18,19,20,20,21,21
standard deviations in prosocial proportions,10,0.05,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.12688577540449519,0.2865309756378881,0.28999999999999998,0.2830194339616981,0.28656414336839631,0.2701713567043536,0.26829735569770374,0.2910738169986245,0.28110042191228635,0.23020831385637452,0.29628864391709858,0.27294709154743835,0.32553903874711099,0.2430897588422731,0.23513667557050114,0.27310159497042541,0.28678784405587082,0.29390058016344267,0.29170302723343416,0.26038880072420029,0.26525512045127392,0.28354891480444228,0.32413266338194674,0.31216510981389956,0.28408271593123768,0.28608380676902995,0.24453886230626629,0.25013054442870097,0.23313308014490616,0.28272581116254786,0.25840259446539288
prosociality proportions:,10,0.1,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5277777777777778,0.5391304347826087,0.5409836065573771,0.5476190476190477,0.5683453237410072,0.5608108108108109,0.569620253164557,0.5748502994011976,0.5977653631284916,0.616580310880829,0.6328502415458938,0.6325581395348837,0.6329113924050633,0.63671875,0.6470588235294118,0.6560283687943262,0.6521739130434783,0.6490683229813664,0.655688622754491,0.6629213483146067,0.6684350132625995,0.6799007444168734,0.6845794392523364,0.7,0.7032520325203252,0.712430426716141,0.7202797202797203,0.7182410423452769,0.7177177177177178,0.7180555555555556
population counts:,10,0.1,0.0,0,0,30,1,1.0,1,1,0.53,0.0,-10,-10,-10,-10,-10,100,108,115,122,126,139,148,158,167,179,193,207,215,237,256,272,282,299,322,334,356,377,403,428,460,492,539,572,614,666,720
