dependent vars,target group size,extra reproduction probability,cost of prosociality,reproduction type,prosocial phenotype,number of rounds,base reproduction rate,base reproduction probability,prosociality type,migration type,seed proportion prosocial,mutation rate,placeholder 1,placeholder 2,placeholder 3,placeholder 4,placeholder 5,starting state,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
prosociality proportions:,10,0.0,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53
population counts:,10,0.0,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
groups counts:,10,0.0,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
standard deviations in prosocial proportions,10,0.0,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.14177446878757824,0.11874342087037917,0.14866068747318503,0.12688577540449519,0.17349351572897473,0.10999999999999999,0.1734935157289747,0.21470910553583888,0.17916472867168917,0.15524174696260024,0.20024984394500783,0.14866068747318503,0.14177446878757824,0.12688577540449519,0.15524174696260024,0.089999999999999969,0.17349351572897473,0.19519221295943134,0.11874342087037916,0.14177446878757824,0.1615549442140351,0.16155494421403513,0.14177446878757824,0.10049875621120888,0.10999999999999997,0.15524174696260024,0.17916472867168917,0.10049875621120889,0.16155494421403513,0.11874342087037916,0.16763054614240211
prosociality proportions:,10,0.05,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5346534653465347,0.5346534653465347,0.5392156862745098,0.5392156862745098,0.5566037735849056,0.5607476635514018,0.5727272727272728,0.5727272727272728,0.5803571428571429,0.6016949152542372,0.6147540983606558,0.6209677419354839,0.6299212598425197,0.6384615384615384,0.6544117647058824,0.6618705035971223,0.6690140845070423,0.6736111111111112,0.6802721088435374,0.6845637583892618,0.6887417218543046,0.6967741935483871,0.6967741935483871,0.7080745341614907,0.718562874251497,0.7218934911242604,0.7298850574712644,0.7374301675977654,0.7445652173913043,0.75
population counts:,10,0.05,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,100,101,101,102,102,106,107,110,110,112,118,122,124,127,130,136,139,142,144,147,149,151,155,155,161,167,169,174,179,184,188
groups counts:,10,0.05,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,10,10,11,11,11,11,12,12,12,13,13,13,14,14,14,14,15,15,15,16,16,16,17,17,18,18
standard deviations in prosocial proportions,10,0.05,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.17916472867168917,0.16416329302514462,0.063350005055215791,0.12773940414727483,0.19426700548854817,0.16533462187358897,0.14832675566559458,0.12856486930664499,0.13545149477955762,0.13419512943529452,0.15787936229948768,0.16058283136757662,0.22681266566843589,0.15102952478032863,0.092307692307692299,0.13183626594061537,0.0851942288461255,0.14526889822451497,0.17343376654496287,0.12157952975032159,0.19347707437833997,0.15106113795839612,0.11828899569012079,0.12199745590386553,0.16765504111095902,0.14135628269385409,0.118269198465979,0.14194008359739893,0.13989247575476949,0.14437732423723149,0.14944716681084658
prosociality proportions:,10,0.1,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.53,0.5480769230769231,0.5480769230769231,0.5607476635514018,0.5688073394495413,0.5877192982456141,0.5948275862068966,0.6147540983606558,0.626984126984127,0.6544117647058824,0.6713286713286714,0.6845637583892618,0.6987179487179487,0.7044025157232704,0.718562874251497,0.7374301675977654,0.75,0.7661691542288557,0.7740384615384616,0.7853881278538812,0.793859649122807,0.8049792531120332,0.81640625,0.825925925925926,0.8395904436860068,0.8498402555910544,0.8613569321533924,0.8687150837988827,0.8779220779220779,0.8899297423887588,0.8969298245614035
population counts:,10,0.1,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,100,104,104,107,109,114,116,122,126,136,143,149,156,159,167,179,188,201,208,219,228,241,256,270,293,313,339,358,385,427,456
groups counts:,10,0.1,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,10,10,10,10,10,11,11,12,12,13,14,14,15,15,16,17,18,20,20,21,22,24,25,27,29,31,33,35,38,42,45
standard deviations in prosocial proportions,10,0.1,0.0,0,2,30,1,1.0,1,0,0.53,0.0,-10,-10,-10,-10,-10,0.13453624047073709,0.13195604076439574,0.16870924668599341,0.11392327416596756,0.11721633598388753,0.12898917695951517,0.17706020897213678,0.11907924609402512,0.15876590178702712,0.15031224123968459,0.17081748620734943,0.11930570214796692,0.13339667916727102,0.13385023770643054,0.13520220355862342,0.1633162434451782,0.091425302069973277,0.095567033286796513,0.1000371831697041,0.097129969590608614,0.10687791063119303,0.1060166304936659,0.12134235427973517,0.10747124539664377,0.1062228839195641,0.11872813483019934,0.091995346811915776,0.12072362915573862,0.096759614620206991,0.10455150422118822,0.093824411002626576
